date,tradition,title,epistle,gospel,matins,vespers,other
2030-03-03,greek,Sunday of Meatfare,1 Corinthians 8.8-9.2,Matthew 25.31-46,7th Matins Gospel :: John 20.1-10,,
2030-03-03,slavic,Sunday of Meatfare,1 Corinthians 8.8-9.2,Matthew 25.31-46,7th Matins Gospel :: John 20.1-10,,
2030-03-04,greek,Monday of Cheesefare,3 John 1.1-14,"Luke 19.29-40, 22.7-39",,,
2030-03-04,slavic,Monday of Cheesefare,3 John 1.1-14,"Luke 19.29-40, 22.7-39",,,
2030-03-05,greek,Cheesefare Tuesday,Jude 1-10,"Luke 22.39-42, 45-23.1",,,
2030-03-05,slavic,Cheesefare Tuesday,Jude 1-10,"Luke 22.39-42, 45-23.1",,,
2030-03-06,greek,Cheesefare Wednesday,,,,Joel 3.12-21,Sixth Hour :: Joel 2.12-26
2030-03-06,slavic,Cheesefare Wednesday,,,,Joel 3.12-21,Sixth Hour :: Joel 2.12-26
2030-03-07,greek,Cheesefare Thursday,Jude 11-25,"Luke 23.1-31, 33, 44-56",,,
2030-03-07,slavic,Cheesefare Thursday,Jude 11-25,"Luke 23.2-34, 44-56",,,
